id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
EG2-001,2026-09-04,11,CZ,vendor_pricing,Waaila (Cross Masters) – Pricing,https://waaila.com/en/pricing/,"Each subscription plan allows you to use Waaila for a specific number of dedicated daily test runs. If you exceed your daily quota, Waaila will not process any additional tests.",en,"V 1. kole oznaceno jako nedostupne (DNS). Nyni dostupne na /en/pricing/. Waaila (produkt ceske Cross Masters) ma verejny cenik: Free 0 EUR, Education/Starter 29, Growth 69, Business 129, Scale 249, Pro 399 EUR/mes (fakturace rocne), Enterprise custom. Osa tieru = pocet dennich behu testu (1-10 / 11-50 / 51-100 / 101-250 / 251-500 / 500+). Vsechny tiery vc. Free obsahuji web app, marketplace pripravenych testu a custom testy; od Starter automatizace (rozvrhy), incident notifications a plny pristup k data providers; Pro ma AI detection engine a 24/7 SLA.",RQ1;RQ3;RQ5,H5,"nedostupnost z 1. kola vyresena – URL je /en/pricing/, ne /pricing"
EG2-002,2026-09-04,11,CZ,vendor_pricing,Waaila – Premium support (add-on),https://waaila.com/en/pricing/,"help you create tailored tests to address your unique scenarios, as well as customize test outputs for easier interpretation",en,"Waaila prodava lidske hodiny jako add-on k nastroji: Entry 2 h/mes 140 EUR, Standard 4 h 280 EUR, Enhanced 6 h 390 EUR, Premium 8 h 520 EUR, Professional 10 h 600 EUR, Custom u Enterprise. To je 60-70 EUR/h (1 500-1 750 Kc/h) a presne odpovida CZ sazbam specialistu (1 150-2 400 Kc/h) z 1. kola. Kombinace nastroj + 6 h cloveka = 519 EUR/mes = 12 975 Kc/mes.",RQ1;RQ5,H3;H5,"prvni nalezeny CZ verejny cenik, ktery explicitne cenu nastroje a cenu lidskych hodin oddeluje"
EG2-003,2026-09-04,11,CZ,vendor_pricing,Signals Bar – ceník,https://www.signals.cz/produkty/signals-bar,"Jednoduchý a transparentní. Žádné skryté poplatky. Jedna cena za setup, jedna za měsíční provoz. … Základní nasazení 10 000 Kč / Měsíční provoz 2 500 Kč / měs. / Systém 100 Kč / měs. Ceny jsou bez DPH 21 %.",cs,"1. kolo uvadelo Signals Bar bez ceny. Ted verejny cenik. Bar = 'Inteligentni monitoring a alerting pro marketing a e-commerce'. Hlida vypadky reklamnich uctu, pokles navstevnosti a konverzi, vyprodany sklad, plus explicitne resi notifikacni sum. V mesicnim provozu je zahrnuto: nastaveni a upravy pravidel, prubezny rozvoj hlidanych situaci, doruceni vice adresatum/kanalum, udrzba pri zmenach v reklamnich systemech a datovych zdrojich, podpora a konzultace. Pro agentury cena individualne.",RQ1;RQ2;RQ5,H5;H2,"nejblizsi ceska konkurence pro tier Hlidani; ale nema QA po releasu, consent, GTM changelog ani reakcni dobu"
EG2-004,2026-09-04,11,CZ,vendor_pricing,Signals Dance – ceník,https://www.signals.cz/produkty/signals-dance,"Jednorázová implementace 10 000 Kč / Měsíční provoz 2 500 Kč / měs. / Individuální vývoj 2 500 Kč / hod … Náklady na provoz BigQuery (typicky do 500 Kč/měs.) nejsou zahrnuty.",cs,"Dance = datovy model nad GA4 BQ exportem. Dulezite dva cenove body: (a) hodinova sazba ceskeho datoveho specialisty 2 500 Kc/h – vyse nez cely rozptyl z 1. kola (1 150-2 400 Kc/h); (b) verejny odhad nakladu na BigQuery u ceskeho e-shopu 'typicky do 500 Kc/mes'. V mesicnim provozu: prubezna aktualizace modelu pri zmenach v GA4, podpora, vice GA4 datasetu, dashboard.",RQ1;RQ3,H1;H3;H5,"vyvraci obavu, ze BQ je pro CZ e-shop nakladove nedostupne – 500 Kc/mes"
EG2-005,2026-09-04,11,CZ,vendor_pricing,Signals Game – ceník,https://www.signals.cz/produkty/signals-game,"Základní nasazení 10 000 Kč / Měsíční provoz 2 500 Kč / měs. / Systém 100 Kč / měs. … V měsíčním provozu je zahrnuto: Údržba extraktorů při změnách v API reklamních systémů, GA4 i e-shopových platforem",cs,"Game = ELT konektory do BigQuery. Ceska verejna cena za udrzbu konektoru (taxonomie E6, F2, G6) je 2 500 Kc/mes. Explicitne prodava jako hodnotu 'Konec starosti s udrzbou: Prihlasovani, limity i zmeny API resi Game automaticky. Vy mate garanci, ze data v BigQuery vzdy jsou a sedi.'",RQ1;RQ4,H5,"cenova kotva pro polozku 'udrzba konektoru' v tieru Datova sprava"
EG2-006,2026-09-04,11,CZ,vendor_pricing,Signals Bingo – ceník,https://www.signals.cz/produkty/signals-bingo,"Jednorázová implementace 10 000 Kč / Měsíční provoz 5 000 Kč / měs. / Tvorba sémantické vrstvy pro další reporty / oblasti od 5 000 Kč",cs,"Bingo = AI agent nad BigQuery (text-to-SQL) ve vlastnim GCP klienta. Pozicovano jako nahrada ad-hoc dotazu na analytika ('Konecne si muzete dovolit analytika'). Cena 5 000 Kc/mes je primy konkurent polozky H3 (ad-hoc dotazy 'proc tohle cislo vypada takhle') v lidskem retaineru.",RQ2;RQ5,H5,"nejsilnejsi nalezena substituce lidske prace nastrojem na CZ trhu"
EG2-007,2026-09-04,11,CZ,vendor_pricing,Signals Attribution – ceník,https://www.signals.cz/produkty/signals-atribuce,"Jednorázová implementace 25 000 Kč / Měsíční provoz 5 000 Kč / měs. … V měsíčním provozu je zahrnuto: … Denní monitoring běhu. Podpora a konzultace nad výstupy",cs,"Attribution = Shapley atribuce, modul k Dance. Zajimave: 'Denni monitoring behu' je soucast mesicniho provozu – tedy i CZ produktova firma prodava monitoring jako soucast provozu, ne jako samostatny produkt.",RQ1;RQ4,H5,
EG2-008,2026-09-04,11,CZ,vendor_pricing,Signals Bot Detector – ceník a data o robotech,https://www.signals.cz/produkty/bot-detector,"U typického e-shopu tvoří roboti okolo 30 % návštěv a Google Analytics je počítá jako lidi. … Jednorázový filtr vyhoří za pár týdnů, roboti neustále mění pravidla hry … Základní nasazení 5 000 Kč / Měsíční provoz 1 000 Kč / měs. / Provoz při platbě za rok 11 000 Kč / rok … samotné zprovoznění SGTM stojí obvykle 15–20 000 Kč",cs,"Bot Detector: 30 % navstev typickeho CZ e-shopu jsou roboti, rekord 88 %, konverzni pomer muze byt az 9x lepsi. Argument pro kontinualni sluzbu je doslova pojmenovany: jednorazove nastaveni prestane fungovat za par tydnu. Navic verejna CZ cena zprovozneni server-side GTM 15-20 000 Kc jednorazove.",RQ2;RQ3;RQ4,H2;H5,"nejlepsi nalezena CZ formulace argumentu 'jednorazove nestaci' – pouzitelna pro pozicovani DataLayer.cz"
EG2-009,2026-09-04,11,CZ,vendor_pricing,Signals – přehled produktů,https://www.signals.cz/produkty,"Dance Proměňte chaos v BigQuery v čistá data / Bingo Ptejte se svých dat lidskou řečí / Game Stáhněte všechna data jedním kliknutím / Bar Objevte chyby kampaní a skladu včas / Attribution Odhalte skutečný přínos marketingu / Bot Detector Vyčistěte reporty od robotického trafficu",cs,"Signals ma 6 produktu, vsechny s verejnou cenou setup + mesicni provoz. Cely stack = 18 700 Kc/mes + 70 000 Kc setup. To je horni hranice toho, co da cesky e-shop za produktovy (nelidsky) monitoring a datovou vrstvu – a je to pod navrhovanym tierem Datova sprava 39 000 Kc. V zadnem produktu neni QA po releasu webu, consent kontrola, GTM changelog ani reakcni doba na incident.",RQ1;RQ5,H5;H1,"Signals je jediny CZ hrac s uplnym verejnym cenikem produktu pro datovou vrstvu"
EG2-010,2026-09-04,11,CZ,web_agentury,Signals – Zpracování a modelování dat (FAQ),https://www.signals.cz/sluzby/zpracovani-dat,"Potřebujeme vlastní datový tým? Ne nutně. Můžeme fungovat jako váš externí datový tým – postavíme infrastrukturu, nastavíme procesy a zajistíme ongoing správu.",cs,"Signals nabizi kontinualni spravu ('ongoing sprava') jako sluzbu, ale bez nazvu, bez ceny a jen v FAQ – zatimco vsech 6 produktu ma verejny cenik. Potvrzuje zaver 1. kola: CZ trh umi nacenit nastroj, ne lidskou spravu. Dale FAQ uvadi: 'Kolik stoji provoz BigQuery? Pro vetsinu strednich firem se naklady pohybuji v radu stovek korun mesicne.'",RQ1;RQ3,H1;H3,"druhy nezavisly CZ odhad nakladu BQ v radu stokorun mesicne (viz EG2-004)"
