id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
EG7-001,2026-09-04,11,EU,vendor_page,"Weld (DK) - Pricing",https://weld.app/pricing,"Basic: From $99 per month billed annually - Google BigQuery & Weld Managed BigQuery access. Premium: From $389 per month billed annually - dbt integration included. Business: From $959 per month billed annually.",en,"Dansky SaaS Weld prodava ""Managed BigQuery"" + ELT + dbt jako predplatne 99/389/959 USD mesicne. Je to cenova kotva pro softwarovou cast datove vrstvy - bez cloveka.",RQ1,H5,"saas_tool; nastroj nahrazuje infrastrukturni cast E1-E6, ne diagnozu a opravu"
EG7-002,2026-09-04,11,EU,vendor_page,"Y42 (DE) - Pricing",https://www.y42.com/pricing,"Business: $500 / month. Enterprise: Custom - Everything in the Business plan, plus ... Service level agreement (SLA)",en,"Y42 (Berlin) - managed dbt/data platforma za 500 USD/mes. SLA je az v Enterprise tieru na dotaz - i u SaaS je slibena reakcni doba prodavana zvlast.",RQ1,H5,"SLA jako placeny upsell i u nastroju"
EG7-003,2026-09-04,11,EU,vendor_page,"Keboola - Pricing",https://www.keboola.com/pricing,"Start with 120 free minutes of compute in your first month, then 60 minutes/month after that. Additional minutes available at $0.14 per minute. Enterprise: Custom - Dedicated Technical Account Manager",en,"Keboola (CZ/US) ma ceny per minuta vypoctu (0,14 USD) a Enterprise na dotaz s dedikovanym TAM. Cena za spravu datove platformy se do verejneho ceniku nedostane ani u ceskeho SaaS.",RQ1,H3,"potvrzuje H3 - cena spravy datove vrstvy neni verejna"
EG7-004,2026-09-04,11,EU,vendor_page,"Krzysztof Surowiecki (PL) - Abonament analityczny",https://www.surowiecki.org/oferta/abonament-analityczny/,"Zakres przed liczbą godzin. Najpierw ustalamy systemy, odpowiedzialność, rytm spotkań, sposób zgłaszania i oczekiwaną dostępność. Dopiero wtedy dobieram pojemność i wycenę. // P1 (Krytyczne): Reakcja według uzgodnionego okna, szybka diagnoza i plan ograniczenia skutków",pl,"Jediny nalezeny polsky dodavatel, ktery ma explicitni prioritni schema P1-P4 s reakci na kritickou udalost. Cislo reakcni doby ale neuvadi - okno se domlouva individualne. Cenu neuvadi (zakres pred liczba godzin).",RQ2,H4,"SLA v PL: ramec ano, cislo ne. Potvrzuje mezeru 1. kola v mekci podobe."
EG7-005,2026-09-04,11,EU,vendor_page,"Conversion.pl - Opieka analityczna",https://conversion.pl/uslugi/opieka-analityczna/,"stałe wsparcie analityczne organizacji, realizowane przez doświadczonych analityków internetowych ... 1 lub 2 dni w tygodniu",pl,"Nejvetsi polska analyticka agentura prodava kontinualni spravu jako rezervovanou kapacitu analytika 1-2 dny v tydnu (tj. cca 32-64 h/mes), bez ceny a bez reakcni doby.",RQ1,H4,"osa ceneni = dny v tydnu, ne hodiny; cena na dotaz"
EG7-006,2026-09-04,11,EU,vendor_page,"Greenfields (PL) - Permanent analytical care",https://green-fields.pl/en/offer/permanent-analytical-care/,"Web analytics in our agency is a comprehensive service in which we monitor your website statistics through professional UX, Google Analytics and Google Tag Manager tools.",en,"Polska agentura Greenfields nabizi ""stala opieka analityczna"" bez ceny, bez SLA a bez BigQuery. Potvrzuje, ze v PL je cena i reakcni doba na dotaz.",RQ1,H3,"nenalezena cena ani SLA"
EG7-007,2026-09-04,11,EU,salary_data,"StepStone.de - Webanalyst/in Gehalter in Deutschland",https://www.stepstone.de/gehalt/Webanalyst-in.html,"Das durchschnittliche Jahresgehalt befindet sich bei 48.200 EUR, das Monatsgehalt bei 4.016 EUR und der Stundenlohn bei 16 EUR.",de,"Nemecky webanalytik ma medianovou hrubou mzdu 48 200 EUR rocne (4 016 EUR mesicne), rozpeti 42 200-57 400 EUR. S odvody 1,34x to je cca 134 500 Kc mesicnich celkovych nakladu na jednoho cloveka.",RQ1,H4,"salary proxy DE - doplnuje mezeru 03-trh-eu.md par.5"
EG7-008,2026-09-04,11,EU,salary_data,"StepStone.de - Digital Analyst Gehalter in Deutschland",https://www.stepstone.de/gehalt/Digital-Analyst.html,"Mit dem Berufstitel Digital Analyst kannst du ein Durchschnittsgehalt zwischen 45.300 EUR und 61.400 EUR erwarten.",de,"Digital Analyst v DE: median 51 300 EUR/rok (4 275 EUR/mes), rozpeti 45 300-61 400 EUR. S odvody cca 143 000 Kc/mes celkovych nakladu.",RQ1,H4,"salary proxy DE"
EG7-009,2026-09-04,11,EU,salary_data,"Talent.com NL - Web analist salaris",https://nl.talent.com/salary?job=web+analist,"Web analist: 33.600 EUR / Jaar; 17,23 EUR per uur; beginnende posities 31.200 EUR per jaar; ervaren werknemers tot 42.720 EUR per jaar",nl,"Nizozemsky webanalytik podle agregace 9308 inzeratu: 33 600 EUR rocne (2 800 EUR/mes). S odvody cca 93 800 Kc/mes. Cislo je spodni odhad - Talent.com micha juniorni a castecne uvazky.",RQ1,H4,"salary proxy NL - doplnuje mezeru 03-trh-eu.md par.5; nizsi kvalita nez StepStone"
EG7-010,2026-09-04,11,EU,salary_data,"Talent.com NL - Data analist salaris",https://nl.talent.com/salary?job=data+analist,"Data analist: 27.300 EUR / Jaar op basis van 10000 salarissen; beginnende posities 21.314 EUR; ervaren tot 40.320 EUR per jaar",nl,"NL data analyst 27 300 EUR/rok (2 275 EUR/mes). S odvody cca 76 200 Kc/mes. Opet spodni odhad.",RQ1,H4,"salary proxy NL"
