id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
EG13-001,2026-09-04,11,GLOBAL,forum,"Shopify Community - Pixel Issues, Purchases not being tracked, New Dawn Update",https://community.shopify.com/t/pixel-issues-purchases-not-being-tracked-new-dawn-update/332651,I had 18 orders from my ad since June 6th and nothing has been tracked since.,en,"Vlákno z 18.6.2024: aktualizace tématu Dawn přepnula obchod na Checkout Extensibility, purchase event chodí bez parametrů. 12 dní neměřených objednávek z reklamy.",RQ2;RQ3,H2,Discourse JSON API (community.shopify.com/t/<id>.json); v 1. kole nedostupné
EG13-002,2026-09-04,11,GLOBAL,forum,Shopify Community - Shopify Not recording store sessions correctly,https://community.shopify.com/t/shopify-not-recording-store-sessions-correctly/339583,we are spending around 1k per day on Meta and Google and getting around 50 store sessions per day. which is down about 100%,en,Dva e-shopy: po změně nastavení souhlasu propad měřených sessions o ~97 % při 1 000 USD/den ad spendu; podpora platformy problém popírá.,RQ2;RQ3,H2;H5,Kvantifikace dopadu v USD/den
EG13-003,2026-09-04,11,GLOBAL,forum,Shopify Community - Google & Youtube App GA4 events don't work,https://community.shopify.com/t/google-youtube-app-ga4-events-dont-work/288873,"I only noticed a few weeks later, when there were 0 view_items, add_to_cart, purchase events registered",en,Přidání GTM tagu shodilo e-commerce měření nativní aplikace; odhaleno až po několika týdnech při náhodné kontrole.,RQ2;RQ3,H2,Přímý doklad time_to_notice = týdny bez alertu
EG13-004,2026-09-04,11,EU,forum,Shopify Community - Google Analytics <> Shopify Transactions discrepancy,https://community.shopify.com/t/google-analytics-shopify-transactions-discrepancy/151191,since the beginning of July (so 2.5 months ago) this discrepancy jumped to 20%,en,"Rozdíl GA vs. Shopify vyskočil z 5 % na 20 % kvůli post-purchase upsell aplikaci; odhaleno po 2,5 měsíce ručním srovnáním.",RQ2;RQ3,H2;H1,Podporuje reconciliaci po transaction_id jako diferenciátor
EG13-005,2026-09-04,11,GLOBAL,forum,Shopify Community - Why has my event purchase tracking suddenly stopped working?,https://community.shopify.com/t/why-has-my-event-purchase-tracking-suddenly-stopped-working/257056,We are losing $1000's a day and wasting huge amounts of AD spend.,en,"Purchase přestal chodit do Facebooku, Googlu i TikToku najednou; dva nezávislí merchanti hlásí tisíce USD denně promrhaného spendu.",RQ2;RQ3,H2;H5,Nejsilnější kvantifikace dopadu ve vzorku Shopify
EG13-006,2026-09-04,11,GLOBAL,forum,Shopify Community - Why has Shopify analytics stopped tracking purchases since October 31?,https://community.shopify.com/t/why-has-shopify-analytics-stopped-tracking-purchases-since-october-31/267998,"Since 31st October, Shopify analytics stopped tracking purchases. Since 9st November it stopped tracking all events except standard events",en,"Platformní výpadek e-commerce eventů; nativní konektor i GTM zasaženy, Meta pixel jako jediný funkční.",RQ3,H2,
EG13-007,2026-09-04,11,EU,forum,Shopify Community - Why is my channel tracking not working since November 1st?,https://community.shopify.com/t/why-is-my-channel-tracking-not-working-since-november-1st/266172,None of the orders get a source anymore,en,"Objednávky bez zdroje/media na marketing dashboardu, GA4 měří jen část nákupů; bez změny na straně e-shopu.",RQ3,H2,
EG13-008,2026-09-04,11,GLOBAL,forum,"Shopify Community - No tracking pixel works at all (TikTok, Facebook, Pinterest, Google)",https://community.shopify.com/t/no-tracking-pixel-works-at-all-tiktok-facebook-pinterest-google/303256,still firing but probably only capturing about 80% of events,en,"Opakované částečné výpadky všech nativně napojených pixelů (září, leden, březen); podpora platformy problém popírá, řeší se měsíce.",RQ3,H2,"Doklad, že částečný výpadek je horší než úplný - nikdo ho nevidí"
EG13-009,2026-09-04,11,GLOBAL,forum,Shopify Community - GA4 suddenly stopped tracking purchases,https://community.shopify.com/t/ga4-suddenly-stopped-tracking-purchases/328192,hasn't recorded a purchase in over a week. I can't figure out why,en,"Zkušený implementátor: GA4 přestal měřit nákupy bez zjevné příčiny, více než týden bez dat.",RQ3,H2,
EG13-010,2026-09-04,11,EU,forum,Shopify Community - Google Ads Conversion Tracking: Suddenly broken!,https://community.shopify.com/t/google-ads-conversion-tracking-suddenly-broken/163457,It all started with double counting conversions and after that I modified the code ... The tag no longer tracked sales,en,Merchant sám opravoval duplicity v kódu a shodil měření úplně; 18 dní bez konverzí v Google Ads.,RQ3,H2,"Doklad, že svépomocná oprava bez QA problém prohloubí"
EG13-011,2026-09-04,11,GLOBAL,forum,Shopify Community - GA4 Begin Checkout/Add Payment suddenly not working,https://community.shopify.com/t/ga4-begin-chekout-add-payment-suddenly-not-working/227632,We have had the same issue since March 12th - orders suddenly stopped tracking,en,"Eventy funnelu přestaly chodit; problém se opakuje napříč lety (2023 i 2024), oficiálně 'known issue'.",RQ3,H2,
EG13-012,2026-09-04,11,GLOBAL,forum,Shopify Community - Microsoft advertising Conversion goals will automatically return to their original state,https://community.shopify.com/t/microsoft-advertising-conversion-goals-will-automatically-return-to-their-original-state/341198,the URL for completing a purchase changed from thank_you to thank-you ... This resulted in the inability to track conversions on the ads,en,Checkout Extensibility změnila URL thank-you stránky; konverzní cíl v Microsoft Ads se rozbil a automaticky se vrací na starou hodnotu.,RQ3,H2,"Příklad platformní změny, kterou hlídání deadlinů podchytí dopředu"
EG13-013,2026-09-04,11,GLOBAL,stackoverflow,Stack Overflow - GA4 BigQuery Daily Export Missing Data After Specific Date,https://stackoverflow.com/questions/79849127/ga4-bigquery-daily-export-missing-data-after-specific-date,"Starting 2025-11-24, the exported tables only have about 5k rows per day, and contain only iOS platform data. Web data disappeared completely from the BigQuery export",en,"Export do BQ přestal ze dne na den obsahovat webový stream (540k -> 5k řádků/den); GA4 UI ukazuje data normálně, žádné error logy.",RQ3;RQ4,H1;H2,StackExchange API (api.stackexchange.com/2.3/search/advanced); v 1. kole SO nedostupné
