id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
EG11-001,2026-09-04,13,US,website,Fivetran docs – Alerts,https://fivetran.com/docs/using-fivetran/fivetran-dashboard/alerts,"An Error describes a problem that keeps Fivetran from syncing your data. ... Depending on your notification settings, we may send you email notifications about new alerts.",en,"Fivetran dokumentuje alerty na selhani synchronizace (chyby pripojeni ke zdroji, konfigurace, destinaci). Notifikacni kanal uvedeny v dokumentaci: e-mail. Alert je o SELHANI PRENOSU, ne o kvalite dat.",RQ5;RQ7,H5,Doplneni mezery g11: notifikace konektoru. Stranka nezminuje Slack/webhook/PagerDuty.
EG11-002,2026-09-04,13,EU,website,Adverity docs – Managing user notifications,https://docs.adverity.com/guides/administration/notifications.html,Data Quality Issues: ... fetched data violates the rules of the monitors assigned to a datastream. ... Authentication: A change or expiry of a datastream's authorization credentials ... authorization tokens that have expired. ... Performance Outliers: ... if a task takes longer than usual.,en,"Adverity je jediny z overenych konektoru, ktery notifikuje nejen selhani prenosu, ale i kvalitu dat (monitory na datastream), vypršení autorizacnich tokenu a vykonnostni odchylky. Kanaly: e-mail, Slack, Microsoft Teams. Dalsi typy: datastream/transformation errors, dbt job fail, import errors, daily status summary, data mapping changes.",RQ5;RQ7,H5,Doplneni mezery g11. Enterprise nastroj bez verejne ceny - kvalita notifikaci koreluje s cenovou tridou.
EG11-003,2026-09-04,13,EU,website,Adverity docs – Setting up data quality summary emails,https://docs.adverity.com/guides/data-quality/data-quality-summary-emails.html,"A data quality summary email is a notification that consolidates all unacknowledged Data Quality issues over a selected period. ... Once a day ... Once a week (Monday) ... total errors and warnings, lists datastreams with issues grouped by data source and workspace",en,"Adverity posila denni nebo tydenni souhrn nevyresenych problemu kvality dat; typy monitoru: Duplication, Volume, Timeliness, Column Consistency, vlastni monitory. Presne rytmus 'denne automat -> tydne digest', ktery 1. kolo navrhuje pro sluzbu - Adverity ho ma jako produkt.",RQ4;RQ5;RQ7,H5,"Doplneni mezery g11. Slovo 'unacknowledged' = predpoklada, ze nekdo issues kvituje = lidska prace (G7)."
EG11-004,2026-09-04,13,EU,website,"Supermetrics docs – How to get Supermetrics alerts to your email, Slack, or Microsoft Teams channel",https://docs.supermetrics.com/docs/how-to-get-supermetrics-alerts-to-your-email-slack-or-microsoft-teams-channel,Alerts will be sent to the recipients once per 24 hours for all failed transfers that require your attention.,en,"Supermetrics posílá alerty na e-mail, Slack i MS Teams, ale POUZE o selhání vlastního přenosu (failed transfers) a jen jednou za 24 hodin. Žádné hlídání kvality dat (např. propad počtu řádků, chybějící kampaň) dokumentace neuvádí. Detekce výpadku konektoru tedy může trvat až 24 h a reakce je vždy na člověku.",RQ5;RQ7,H5,"Doplnění mezery g11: notifikace konektorů. Opravuje tvrzení 1. kola, že Supermetrics 'hlídání selhání nezmiňuje' – hlídá, ale s 24h kadencí a jen na přenos."
EG11-005,2026-09-04,13,US,website,Airbyte Docs – Manage notifications,https://docs.airbyte.com/platform/cloud/managing-airbyte-cloud/manage-airbyte-cloud-notifications,"Failed syncs: A sync from any of your connections fails ... Warning - Repeated Failures ... Sync Disabled - Repeated Failures ... Self-Managed versions of Airbyte can send notifications to a webhook, but not an email.",en,"Airbyte notifikuje selhání synchronizace (e-mail jen v Cloudu, webhook/Slack i v self-hosted). Prahy: varování po 20 po sobě jdoucích selháních, automatické vypnutí konektoru po 30 selháních. Tj. konektor může selhávat týdny, než ho systém sám vypne – reakci a diagnostiku musí udělat člověk.",RQ5;RQ7,H5,"Doplnění mezery g11. Prahy 20/30 selhání jsou přímý argument, proč F2/E6 potřebuje lidský dohled."
EG11-006,2026-09-04,13,EU,website,"Funnel Knowledge Base – Workspace notifications (článek nedostupný, jen navigace)",https://help.funnel.io/en/articles/11487892-workspace-notifications,(tělo článku se nepodařilo načíst – Intercom KB vrací jen navigaci; v navigaci existují články 'Workspace notifications' a 'Can I send Funnel notifications to Slack?'),en,"Funnel.io má v nápovědě sekci workspace notifications (chyby datových zdrojů a exportů) a článek o posílání notifikací do Slacku, ale tělo článků nebylo z tohoto prostředí dostupné (Intercom KB vrací jen navigaci, i přes r.jina.ai). Existence notifikací na chybu zdroje je tedy doložena jen názvem článku, ne citací.",RQ5,H5,Doplnění mezery g11 – ČÁSTEČNĚ NEDOSTUPNÉ. Důvod: Intercom knowledge base nevrací obsah článku přes fetch.
EG11-007,2026-09-04,13,EU,website,Coupler.io Help Center – Flow settings / Features and limits,https://docs.coupler.io/functionality/flow-settings,(v dokumentaci Flow settings ani Features and limits není zmíněna notifikace o selhání běhu; popsán je jen plán obnovy a webhooky po dokončení běhu),en,"Coupler.io ve veřejné dokumentaci nepopisuje e-mailový alert na selhání importu. Dokumentované je jen: plán obnovy, webhook po dokončení běhu a e-mail při dosažení limitu objemu dat (ten pozastaví automatickou obnovu). Tzn. u levných konektorů (od 736 Kč/měs) je hlídání funkčnosti na klientovi.",RQ5;RQ7,H5,"Doplnění mezery g11. Negativní zjištění – zapsáno jako 'v dokumentaci nenalezeno', ne jako 'neexistuje'."
EG11-008,2026-09-04,13,US,review,"Shopify App Store – Littledata (recenze, 4,8/5, 140 recenzí)",https://apps.shopify.com/littledata/reviews,fixed our leaky funnel capture set up and solved a real pain point,en,"Littledata (Shopify data pipeline) má 4,8/5 ze 140 recenzí (128× 5*, 8× 1*). Důvod nákupu podle recenzí: přeskočit ruční server-side nastavení, odstranit duplicitní eventy mezi browser a server tracking, opravit 'leaky funnel'. Uvedená motivace je NÁPRAVA rozbitého měření, ne nová data.",RQ2;RQ7,H2;H5,Doplnění mezery g11 (recenzní vzorek). Recenze jsou drtivě pozitivní – vypovídací hodnota o stížnostech nízká.
EG11-009,2026-09-04,13,US,review,Shopify App Store – Littledata (recenze),https://apps.shopify.com/littledata/reviews,duplicate events firing between server-side and browser tracking,en,"Konkrétní technický pain, kvůli kterému e-shopy kupují nástroj: duplicitní eventy mezi server-side a browser trackingem. Bez nástroje to e-shop sám neodhalí – projeví se jako nadhodnocené konverze.",RQ2;RQ7,H2,Doplnění mezery g11.
EG11-010,2026-09-04,13,US,review,"Shopify App Store – Elevar Conversion Tracking (4,7/5, 168 recenzí)",https://apps.shopify.com/gtm-datalayer-by-elevar/reviews,we consolidated onto Elevar as our single client and server side tracker...and now have conversion data we actually trust,en,"Elevar má 4,7/5 ze 168 recenzí. Nejčastější důvod nákupu: konsolidace roztříštěného měření do jednoho zdroje a 'data, kterým věříme'. Slovník recenzí = důvěra v čísla, ne dostupnost čísel – shoda s hlavním painem 1. kola.",RQ2;RQ7,H2,"Doplnění mezery g11. Recenzent Old Bones Therapy, 23. 6. 2026."
EG11-011,2026-09-04,13,US,review,"Shopify App Store – Elevar, 1* recenze (Glowssip, HK, 8. 5. 2026)",https://apps.shopify.com/gtm-datalayer-by-elevar/reviews?ratings%5B%5D=1,"Reached out to their customer support for an urgent matter. I opened a ticket, checked later and they already closed it without even replying or solving the problem. ... their report always shows 100% accuracy by default no matter what, just misleading.",en,"Dvě klíčové stížnosti na nástroj: (1) support zavřel ticket bez odpovědi u urgentní věci, (2) reporting nástroje ukazuje 100% přesnost 'bez ohledu na skutečnost'. Tj. nástroj sám může falešně uklidňovat – to je argument pro lidskou kontrolu nad nástrojem.",RQ2;RQ7,H5,"Doplnění mezery g11. Nejsilnější doklad, že 'zelené číslo v nástroji' není totéž co funkční měření."
EG11-012,2026-09-04,13,US,review,"Shopify App Store – Elevar, 1* recenze (iLevel Lab, 13. 6. 2024)",https://apps.shopify.com/gtm-datalayer-by-elevar/reviews?ratings%5B%5D=1,"Support is non existent. I asked same question 3 times, and got emails with articles not answering my question but rather suggesting I pay them $1000 for integration.",en,"Recenzent popisuje, že místo odpovědi dostal nabídku placené integrace za 1 000 USD (23 000 Kč). Potvrzuje, že SaaS nástroj pro tracking prodává lidskou práci jako placený add-on a bez ní nástroj nedoručí.",RQ2;RQ7,H5,Doplnění mezery g11. Cenová kotva jednorázové implementace 1 000 USD = 23 000 Kč.
EG11-013,2026-09-04,13,US,review,"Shopify App Store – Elevar, 1* recenze (LITTLE RAD THINGS, 2. 5. 2025; Premiere Peau, FR)",https://apps.shopify.com/gtm-datalayer-by-elevar/reviews?ratings%5B%5D=1,They continue to charge you after uninstalling and cancelling your plan. Awful support. ... Trashiest dirtiest uninstall ever. I don't understand how Shopify tolerates this. Elevar seeps in every corners of code it is a nightmare to clean up.,en,"Stížnosti na odinstalaci: nástroj zanechává kód po celém webu a je 'noční můra' ho vyčistit. To je přesně aktivita A6 (úklid mrtvých tagů) – práce, kterou nástroj vytváří a člověk uklízí.",RQ2;RQ7,H5,Doplnění mezery g11. Podporuje A6 jako reálnou položku služby.
EG11-014,2026-09-04,13,US,review,"Shopify App Store – Elevar, přehled 1* recenzí (12 ks z 168)",https://apps.shopify.com/gtm-datalayer-by-elevar/reviews?ratings%5B%5D=1&ratings%5B%5D=2,"(souhrn 1* recenzí: Fishe and Lilly, 21. 11. 2023 – nedokončené nastavení, ztráta dat za 3 měsíce, nekompatibilita s GDPR aplikacemi, požadavek dalších 500 USD/měs; Dragonfly, 20. 11. 2024 – opakovaná selhání měření a špatná komunikace o změnách platformy)",en,"Ve 12 jednohvězdičkových recenzích Elevaru se opakují tři motivy: složité nastavení, ztráta dat po dobu měsíců, než si toho někdo všiml, a doprodej lidské podpory za 500–1 000 USD. Formulace jsou parafráze z výpisu recenzí (jednotlivé recenze se nepodařilo zobrazit celé).",RQ2;RQ7,H2;H5,"Doplnění mezery g11. POZOR: parafráze, ne doslovný citát – Shopify stránkuje recenze a jednotlivé texty nešly načíst."
EG11-015,2026-09-04,13,US,website,"Seresa – Pricing (Transmute Engine, server-side tracking pro WooCommerce)",https://seresa.io/pricing,"Advanced monitoring and priority support (Cherry Red+) ... Advanced data validation, custom field mapping, custom webhooks (Bright Cherry+) ... your rate is locked at what you pay today, for as long as your subscription stays active",en,"Seresa prodává server-side tracking + privátní BigQuery dataset pro WooCommerce od 99 USD/rok (190 Kč/měs) do 2 349 USD/rok (4 502 Kč/měs). Klíčové: 'advanced monitoring' je až v 5. z 6 tierů (3 448 Kč/měs) a dedikovaný account manager až v nejvyšším. Opakuje se vzorec Stape: monitoring je upsell, ne základ.",RQ5;RQ7,H1;H5,"Doplnění mezery g11 – nový nástroj, který 1. kolo minulo. BigQuery je tu součástí i nejlevnějšího tieru (sdílený dataset) – oslabuje představu, že BQ je drahý luxus."
EG11-016,2026-09-04,13,US,website,Conversios – Order Recovery Engine (blog) a Pricing,https://www.conversios.io/blog/order-recovery-engine-shopify-woocommerce/,"Order Recovery Engine, or ORE, is a recovery workflow inside Conversios Server Side Tracking. Its job is to identify completed orders that did not survive the normal purchase-event path",en,"ODPOVĚĎ NA OTÁZKU 4: existuje nástroj, který porovnává objednávky v backendu e-shopu s GA4 i mimo Shopify. Conversios ORE běží nad Shopify I WooCommerce, v 24hodinovém cyklu dohledá objednávky, které se nedostaly do GA4/Google Ads/Meta, a dopošle je. Uváděné výsledky: 'up to 98% matching between recovered GA4 purchase data and backend order data' a 'up to 30% additional conversions' v Google Ads.",RQ5;RQ7,H1;H5,"Doplnění mezery g11. ČÁSTEČNĚ VYVRACÍ závěr 1. kola, že G2/D5 bez BQ umí jen Elevar pro Shopify. Stále ale jen Shopify + WooCommerce, nic pro Shoptet/Upgates."
EG11-017,2026-09-04,13,US,website,"Seresa – blog: WooCommerce says 50 orders, GA4 says 32, Facebook claims 18",https://seresa.io/blog/reporting-dashboards/woocommerce-says-50-orders-ga4-says-32-facebook-claims-18,GA4 underreports WooCommerce ecommerce revenue by 15-50% ... 15-30% is normal for stores with standard client-side tracking ... Above 40% signals a configuration issue ... Weekly reconciliation catches silent tracking failures within 7 days instead of letting them compound for months.,en,"Vendor uvádí konkrétní prahy pro rekonciliaci GA4 vs. e-shop: 15–30 % rozdílu je 'normální' u client-side měření, nad 40 % je konfigurační chyba. To je použitelný práh pro alert G2 i pro komunikaci s klientem. Zároveň potvrzuje rytmus 'týdenní rekonciliace = detekce do 7 dnů místo měsíců'.",RQ4;RQ7,H2,"Doplnění mezery g11. Zdroj je marketingový blog dodavatele – prahy brát jako indikaci, ne normu."
EG11-018,2026-09-04,13,US,website,Seresa – blog: WooCommerce Order Edits Are Permanently Breaking Your GA4 Revenue,https://seresa.io/blog/data-quality-validation/woocommerce-order-edits-are-permanently-breaking-your-ga4-revenue,"Order edits happen later — in the WooCommerce admin panel, by a human, with no browser session attached to the original customer journey. ... WooCommerce now holds the correct order total. GA4 permanently holds the original one. ... no WordPress plugin running browser-side can fix this",en,"Nový, v 1. kole nepopsaný mechanismus rozjetí GA4 vs. backend: ruční editace objednávky v administraci e-shopu. GA4 purchase je 'write-once', takže rozdíl je trvalý a klientsky neviditelný. Řešení jen server-side (refund + nový purchase). Průměrná míra vratek v e-commerce 17,9 % – tj. rozdíl je systémový, ne výjimečný.",RQ4;RQ7,H2,"Doplnění mezery g11. Pro CZ platformy (Shoptet, Upgates) platí totéž a neexistuje pro to nástroj – konkrétní diferenciátor služby."
EG11-019,2026-09-04,13,EU,review,"GetApp – Supermetrics (4,4/5, 109 recenzí, value for money 3,8/5)",https://www.getapp.com/marketing-software/a/supermetrics/reviews/,"It also loses connection multiple times. (Andi J., Web and Mobile Analytics Specialist) ... Need to pay extra for connectors that are not built into the basic plans (Pedro A., Marketing & Growth Ops) ... They should work to improve the support response time which I found a little long (Henri H., Web designer)",en,"Ověřeno s atribucí recenzentů: nejčastější stížnost na Supermetrics je opakovaná ztráta spojení konektoru, dále příplatky za konektory a pomalý support. Value for money 3,8/5 je nejnižší dílčí skóre. Tj. F2/E6 je opakovaná lidská práce, kterou konektor negeneruje jen výjimečně.",RQ5;RQ7,H5,"Doplnění mezery g11 – doplňuje atribuci k citátu, který 1. kolo uvádělo bez autora."
EG11-020,2026-09-04,13,CZ,website,Shoptet Blog – Novinky v integrovaném měření do Google Analytics 4,https://blog.shoptet.cz/google-analytics-4/,"(cílené vyhledávání 'Shoptet měření GA4 kontrola nástroj hlídání konverzí Sklik Heureka monitoring' vrátilo výhradně návody na NASAZENÍ GA4, žádný nástroj pro průběžnou kontrolu měření)",cs,"OVĚŘENÍ ZÁVĚRU 1. KOLA: pro Shoptet, Sklik, Heureka ani Zboží.cz se nepodařilo najít žádný nástroj pro průběžný monitoring měření. Veškerý nalezený obsah je o jednorázovém nasazení GA4 (Shoptet blog, Digitální architekti, Measure Design). Závěr 1. kola potvrzen.",RQ5;RQ7,H5,"Doplnění mezery g11, bod 4. Negativní zjištění z jednoho cíleného dotazu – není důkaz neexistence, ale konzistentní s 1. kolem."
EG11-021,2026-09-04,13,US,review,"Capterra – ObservePoint (4,0/5, 3 recenze)",https://www.capterra.com/p/156573/WebAssurance/,You get informed in advance if any of your analytics tagging break in production ... Technical support in case of any issues is very slow ... Frequent web journey failures in production without any change in scripts/environment ... [scan listing] can get a bit cluttered if you have a lot of scans,en,"Ověřeno na Capterře: hlavní důvod nákupu enterprise tag monitoringu je 'dozvíte se předem, že se tagování rozbilo v produkci'. Hlavní stížnosti: pomalý support a ČASTÉ SELHÁVÁNÍ SYNTETICKÝCH PRŮCHODŮ bez jakékoli změny na webu = falešné poplachy, které musí někdo třídit.",RQ7,H2;H5,Doplnění mezery g11 – potvrzení citátů z 1. kola z původního zdroje.
EG11-022,2026-09-04,13,US,review,"Capterra – Trackingplan (4,8/5, 5 recenzí)",https://www.capterra.com/p/10014335/Trackingplan/reviews/,"poor in visual data consulting, information is completely raw",en,"Nejsilnější stížnost na Trackingplan: nástroj dodává surová data o kvalitě měření, ale žádný výklad. To je přesně mezera, kterou vyplňuje člověk (F3 komentář, G7 triáž). Dále: dlouhé počáteční nastavení a nutnost velkého objemu trafficu, než začne dávat výsledky.",RQ7,H5,Doplnění mezery g11. 'Information is completely raw' je použitelný argument pro službu nad nástrojem.
